index,case:concept:name,activity,type
21607,DF44507019508_00010,"[14, 19, 19, 19, 19, 19, 19, 1, 19, 19, 19, 19, 19, 9, 19]",DF4
21608,DF44507019508_00020,"[14, 19, 19, 19, 19, 19, 19, 19, 19, 19]",DF4
21609,DF44507020485_00050,"[14, 19, 9, 6, 19, 9, 6, 19]",DF4
21610,DF44507023230_00010,"[14, 19, 19, 19, 19, 19, 19, 19, 19, 19]",DF4
21611,DF44507024547_00010,"[14, 19, 19, 19, 19, 19, 19, 19]",DF4
21612,DF44507024824_00010,"[14, 9, 19, 19, 19, 19, 19, 19]",DF4
21613,DF44507025939_00040,"[14, 19, 19, 19, 19, 9, 9, 19, 9, 6, 19]",DF4
21614,DF44507025950_00050,"[14, 9, 9, 19, 19, 19, 19, 19]",DF4
21615,DF44507026210_00010,"[15, 14, 19, 6, 6, 1, 9, 19]",DF4
21616,DF44507031486_00010,"[14, 19, 19, 19, 19, 19, 19, 1, 19]",DF4
21617,DF44507035113_00090,"[14, 19, 19, 19, 19, 19, 9, 6, 19]",DF4
21618,DF44507035113_00110,"[14, 9, 19, 19, 9, 9, 9, 9, 9, 9, 6]",DF4
21619,DF44507038203_00220,"[14, 19, 19, 19, 19, 19, 6, 19]",DF4
21620,DF44507039587_00220,"[14, 9, 9, 9, 19, 19, 19, 9, 6]",DF4
21621,DF44507041161_00160,"[14, 9, 9, 9, 9, 9, 9, 19, 9, 6, 19]",DF4
21622,DF44508049269_00010,"[14, 9, 19, 19, 19, 19, 19, 19]",DF4
21623,DF44508049270_00010,"[14, 9, 19, 19, 19, 19, 19, 19]",DF4
21624,DF44508050308_00010,"[14, 8, 6, 6, 9, 9, 9, 19]",DF4
21625,DF44508051161_00090,"[14, 19, 19, 19, 19, 6, 6, 6, 9]",DF4
21626,DF44508054761_00010,"[15, 14, 9, 9, 19, 19, 9, 19]",DF4
21627,DF44508054879_00010,"[14, 19, 9, 6, 19, 9, 6, 19, 1, 19, 19, 6]",DF4
21628,DF44508056077_00010,"[15, 14, 9, 9, 9, 19, 9, 6, 9]",DF4
21629,DF44508057651_00010,"[15, 14, 19, 9, 6, 19, 19, 9, 6]",DF4
21630,DF44508058276_00010,"[15, 14, 9, 19, 19, 19, 19, 6]",DF4
21631,DF44508059660_00010,"[15, 14, 9, 9, 9, 19, 9, 19, 19, 19]",DF4
21632,DF44508060045_00010,"[15, 14, 19, 19, 19, 19, 19, 19]",DF4
21633,DF44508060047_00020,"[15, 14, 19, 19, 19, 19, 19, 19, 19, 19]",DF4
21634,DF44508060051_00020,"[15, 14, 19, 19, 19, 19, 9, 19]",DF4
21635,DF44508068545_00010,"[15, 14, 9, 9, 18, 9, 9, 19]",DF4
21636,DF44508069068_00010,"[15, 14, 9, 9, 18, 9, 19, 6]",DF4
21637,DF44508073350_00030,"[15, 14, 9, 19, 19, 19, 19, 19, 19, 19]",DF4
21638,DF44508075329_00010,"[15, 14, 9, 9, 18, 9, 19, 6]",DF4
